30,1,management,Quan ly,11,Masan Group,Tập đoàn Masan,Tap doan tieu dung hang dau. Nhieu co hoi quan ly chuoi ban le.,FMCG & Retail,enterprise,HCM / Hanoi,https://careers.masangroup.com,https://www.linkedin.com/jobs/search/?keywords=Masan+Group&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Masan+Group,https://www.topcv.vn/viec-lam?keyword=Masan+Group,https://itviec.com/it-jobs?query=Masan+Group,,https://vn.indeed.com/jobs?q=Masan+Group,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
31,1,management,Quan ly,11,Hoa Phat Group,Tập đoàn Hòa Phát,Tap doan thep lon nhat Viet Nam. Tuyen quan ly san xuat va van hanh.,Steel & Manufacturing,enterprise,Nationwide,https://hoaphat.com.vn/tuyen-dung,https://www.linkedin.com/jobs/search/?keywords=Hoa+Phat+Group&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Hoa+Phat+Group,https://www.topcv.vn/viec-lam?keyword=Hoa+Phat+Group,https://itviec.com/it-jobs?query=Hoa+Phat+Group,,https://vn.indeed.com/jobs?q=Hoa+Phat+Group,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
32,1,management,Quan ly,11,Thaco Group,Trường Hải Auto,Tap doan o to va ban le hang dau. Nhieu vi tri quan ly cap cao.,Automotive,enterprise,Nationwide,https://thaco.com.vn/tuyen-dung,https://www.linkedin.com/jobs/search/?keywords=Thaco+Group&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Thaco+Group,https://www.topcv.vn/viec-lam?keyword=Thaco+Group,https://itviec.com/it-jobs?query=Thaco+Group,,https://vn.indeed.com/jobs?q=Thaco+Group,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
33,2,business-finance,Kinh doanh & Tai chinh,13,Vietcombank,Ngân hàng Ngoại thương Việt Nam,"Ngan hang lon nhat Viet Nam. Tuyen phan tich tai chinh, tin dung.",Banking,enterprise,Nationwide,https://vietcombank.com.vn/tuyen-dung,https://www.linkedin.com/jobs/search/?keywords=Vietcombank&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Vietcombank,https://www.topcv.vn/viec-lam?keyword=Vietcombank,https://itviec.com/it-jobs?query=Vietcombank,,https://vn.indeed.com/jobs?q=Vietcombank,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
34,2,business-finance,Kinh doanh & Tai chinh,13,Techcombank,Ngân hàng Kỹ thương,"Ngan hang tu nhan hang dau. Chuyen tuyen phan tich RI, kinh doanh.",Banking,enterprise,HCM / Hanoi,https://careers.techcombank.com.vn,https://www.linkedin.com/jobs/search/?keywords=Techcombank&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Techcombank,https://www.topcv.vn/viec-lam?keyword=Techcombank,https://itviec.com/it-jobs?query=Techcombank,,https://vn.indeed.com/jobs?q=Techcombank,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
35,2,business-finance,Kinh doanh & Tai chinh,13,PricewaterhouseCoopers Vietnam,PwC Việt Nam,"Big4 kiem toan. Tuyen audit, tax, advisory, business consulting.",Consulting,large,HCM / Hanoi,https://www.pwc.com/vn/en/careers.html,https://www.linkedin.com/jobs/search/?keywords=PricewaterhouseCoopers+Vietnam&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=PricewaterhouseCoopers+Vietnam,https://www.topcv.vn/viec-lam?keyword=PricewaterhouseCoopers+Vietnam,https://itviec.com/it-jobs?query=PricewaterhouseCoopers+Vietnam,,https://vn.indeed.com/jobs?q=PricewaterhouseCoopers+Vietnam,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
36,2,business-finance,Kinh doanh & Tai chinh,13,Deloitte Vietnam,Deloitte Việt Nam,"Big4 kiem toan. Vi tri phan tich RI, tu van tai chinh, kiem toan.",Consulting,large,HCM / Hanoi,https://www2.deloitte.com/vn/en/pages/careers/,https://www.linkedin.com/jobs/search/?keywords=Deloitte+Vietnam&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Deloitte+Vietnam,https://www.topcv.vn/viec-lam?keyword=Deloitte+Vietnam,https://itviec.com/it-jobs?query=Deloitte+Vietnam,,https://vn.indeed.com/jobs?q=Deloitte+Vietnam,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
37,2,business-finance,Kinh doanh & Tai chinh,13,KPMG Vietnam,KPMG Việt Nam,Big4 kiem toan. Tuyen chuyen vien RI kiem toan va tu van.,Consulting,large,HCM / Hanoi,https://home.kpmg/vn/en/home/careers.html,https://www.linkedin.com/jobs/search/?keywords=KPMG+Vietnam&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=KPMG+Vietnam,https://www.topcv.vn/viec-lam?keyword=KPMG+Vietnam,https://itviec.com/it-jobs?query=KPMG+Vietnam,,https://vn.indeed.com/jobs?q=KPMG+Vietnam,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
38,2,business-finance,Kinh doanh & Tai chinh,13,MoMo,Ví MoMo,"Vi dien tu hang dau Viet Nam. Tuyen tai chinh, product, risk analysis.",Fintech,large,HCM,https://momo.vn/tuyen-dung,https://www.linkedin.com/jobs/search/?keywords=MoMo&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=MoMo,https://www.topcv.vn/viec-lam?keyword=MoMo,https://itviec.com/it-jobs?query=MoMo,,https://vn.indeed.com/jobs?q=MoMo,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
39,3,computer-math,Cong nghe thong tin,15,FPT Software,FPT Software,"Cong ty phan mem lon nhat Viet Nam. Tuyen lap trinh vien, BA, QA.",Software Outsourcing,enterprise,Nationwide,https://careers.fpt-software.com,https://www.linkedin.com/jobs/search/?keywords=FPT+Software&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=FPT+Software,https://www.topcv.vn/viec-lam?keyword=FPT+Software,https://itviec.com/it-jobs?query=FPT+Software,,https://vn.indeed.com/jobs?q=FPT+Software,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
40,3,computer-math,Cong nghe thong tin,15,VNG Corporation,VNG Corporation,"Cong ty internet hang dau Viet Nam (Zalo). Tuyen backend, mobile, AI.",Internet Technology,large,HCM,https://www.vng.com.vn/tuyen-dung,https://www.linkedin.com/jobs/search/?keywords=VNG+Corporation&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=VNG+Corporation,https://www.topcv.vn/viec-lam?keyword=VNG+Corporation,https://itviec.com/it-jobs?query=VNG+Corporation,,https://vn.indeed.com/jobs?q=VNG+Corporation,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
41,3,computer-math,Cong nghe thong tin,15,Tiki,Tiki,"San TMDT lon nhat Viet Nam. Tuyen fullstack, data engineer, ML.",E-commerce,large,HCM,https://tiki.vn/tuyen-dung,https://www.linkedin.com/jobs/search/?keywords=Tiki&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Tiki,https://www.topcv.vn/viec-lam?keyword=Tiki,https://itviec.com/it-jobs?query=Tiki,,https://vn.indeed.com/jobs?q=Tiki,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
42,3,computer-math,Cong nghe thong tin,15,Shopee Vietnam,Shopee Việt Nam,"San TMDT lon. Tuyen backend Java/Go, data science, product.",E-commerce,enterprise,HCM,https://careers.shopee.vn,https://www.linkedin.com/jobs/search/?keywords=Shopee+Vietnam&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Shopee+Vietnam,https://www.topcv.vn/viec-lam?keyword=Shopee+Vietnam,https://itviec.com/it-jobs?query=Shopee+Vietnam,,https://vn.indeed.com/jobs?q=Shopee+Vietnam,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
43,3,computer-math,Cong nghe thong tin,15,Grab Vietnam,Grab Việt Nam,"Ung dung goi xe, delivery. Tuyen SWE, ML engineer, data analyst.",Super App,enterprise,HCM / Hanoi,https://careers.grab.com,https://www.linkedin.com/jobs/search/?keywords=Grab+Vietnam&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Grab+Vietnam,https://www.topcv.vn/viec-lam?keyword=Grab+Vietnam,https://itviec.com/it-jobs?query=Grab+Vietnam,,https://vn.indeed.com/jobs?q=Grab+Vietnam,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
44,3,computer-math,Cong nghe thong tin,15,KMS Technology,KMS Technology,"Cong ty phan mem Viet-My. Tuyen fullstack, QA automation, DevOps.",Software Services,large,HCM,https://kms-technology.com/careers,https://www.linkedin.com/jobs/search/?keywords=KMS+Technology&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=KMS+Technology,https://www.topcv.vn/viec-lam?keyword=KMS+Technology,https://itviec.com/it-jobs?query=KMS+Technology,,https://vn.indeed.com/jobs?q=KMS+Technology,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
45,3,computer-math,Cong nghe thong tin,15,Axon Active Vietnam,Axon Active,"Phan mem outsourcing Thuy Si. Agile/Scrum, tuyen SWE, BA.",Software Outsourcing,large,Da Nang / HCM,https://axonactive.com/careers,https://www.linkedin.com/jobs/search/?keywords=Axon+Active+Vietnam&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Axon+Active+Vietnam,https://www.topcv.vn/viec-lam?keyword=Axon+Active+Vietnam,https://itviec.com/it-jobs?query=Axon+Active+Vietnam,,https://vn.indeed.com/jobs?q=Axon+Active+Vietnam,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
46,3,computer-math,Cong nghe thong tin,15,Harvey Nash Vietnam,Harvey Nash Việt Nam,Cong ty phan mem Anh. Nhieu vi tri tech va IT outsourcing.,IT Staffing,large,HCM / Hanoi,https://harveynashvietnam.com/careers,https://www.linkedin.com/jobs/search/?keywords=Harvey+Nash+Vietnam&location=Vietnam,https://www.vietnamworks.com/viec-lam?keyword=Harvey+Nash+Vietnam,https://www.topcv.vn/viec-lam?keyword=Harvey+Nash+Vietnam,https://itviec.com/it-jobs?query=Harvey+Nash+Vietnam,,https://vn.indeed.com/jobs?q=Harvey+Nash+Vietnam,t,t,2026-04-28 09:43:56.175192+00,2026-04-28 14:37:30.358374+00
