form_code,question_no,question_key,prompt,options_json,reverse_score
RIASEC120,1,R1,Build kitchen cabinets.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,2,R2,Lay brick or tile.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,3,R3,Repair household appliances.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,4,R4,Raise fish in a fish hatchery.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,5,R5,Assemble electronic parts.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,6,R6,Drive a truck to deliver packages to offices and homes.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,7,R7,Test the quality of parts before shipment.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,8,R8,Repair and install locks.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,9,R9,Set up and operate machines to make products.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,10,R10,Put out forest fires.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,11,I1,Develop a new medicine.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC120,12,I2,Study ways to reduce water pollution.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
