form_code,question_no,question_key,prompt,options_json,reverse_score
BIG5_120,1,O1,Have a vivid imagination.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,2,O2,Enjoy hearing new ideas.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,3,O3,Tend to vote for liberal political candidates.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,4,O4,Carry the conversation to a higher level.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,5,O5,Enjoy thinking about things.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,6,O6,Have a rich vocabulary.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,7,O7,Spend time reflecting on things.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,8,O8,Am full of ideas.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,9,O9,Enjoy wild flights of fantasy.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,10,O10,Love to read challenging material.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,11,O11,Enjoy examining myself and my life.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,12,O12,Enjoy the beauty of nature.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,13,O13,Am interested in many things.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,14,O14,Like to get lost in thought.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,15,O15,Enjoy different types of art and music.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,16,O16,Prefer variety to routine.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",False
BIG5_120,17,O17,Do not like art.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",True
BIG5_120,18,O18,Avoid philosophical discussions.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",True
BIG5_120,19,O19,Do not enjoy going to art museums.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",True
BIG5_120,20,O20,Tend to vote for conservative political candidates.,"{""options"":[""Very Inaccurate"",""Moderately Inaccurate"",""Neither Accurate nor Inaccurate"",""Moderately Accurate"",""Very Accurate""],""scale"":""BigFive""}",True
