Importance,Category,Task
85,Core,Monitor and evaluate effectiveness of sustainability programs.
84,Core,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."
83,Core,"Develop, or oversee the development of, sustainability evaluation or monitoring systems."
81,Core,Supervise employees or volunteers working on sustainability projects.
76,Core,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
73,Core,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events."
72,Core,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.
71,Core,"Create and maintain sustainability program documents, such as schedules and budgets."
69,Core,Formulate or implement sustainability campaign or marketing strategies.
69,Core,"Research environmental sustainability issues, concerns, or stakeholder interests."
66,Core,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.
63,Core,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives."
63,Core,Develop methodologies to assess the viability or success of sustainability initiatives.
62,Core,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws."
58,Core,Write and distribute financial or environmental impact reports.
58,Core,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives."
55,Core,"Identify educational, training, or other development opportunities for sustainability employees or volunteers."
53,Core,Conduct risk assessments related to sustainability and the environment.
