form_code,question_no,question_key,prompt,options_json,reverse_score
RIASEC180,1,R1,Build kitchen cabinets.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,2,R2,Lay brick or tile.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,3,R3,Repair household appliances.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,4,R4,Assemble electronic parts.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,5,R5,Drive a truck to deliver packages.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,6,R6,Test the quality of parts before shipment.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,7,R7,Repair and install locks.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,8,R8,Set up and operate machines to make products.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,9,R9,Work on an oil rig.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,10,R10,Operate a grinding machine in a factory.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,11,R11,Fix a broken faucet.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,12,R12,Raise fish in a fish hatchery.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,13,R13,Build a brick walkway.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,14,R14,Operate heavy construction equipment.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,15,R15,Install flooring in houses.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,16,R16,Maintain electrical equipment.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,17,R17,Work outdoors in all weather conditions.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,18,R18,Weld metal parts together.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,19,R19,Operate a forklift in a warehouse.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,20,R20,Repair engines on boats.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,21,R21,Build furniture from raw wood.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,22,R22,Avoid working with tools or machinery.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,23,R23,Prefer not to do physical labor.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,24,R24,Dislike working outdoors.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,25,R25,Avoid getting my hands dirty at work.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,26,R26,Prefer desk work over manual tasks.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,27,R27,Dislike fixing or repairing things.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,28,R28,Avoid working in workshops or factories.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,29,R29,Prefer not to operate heavy equipment.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,30,R30,Dislike hands-on technical work.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,31,I1,Conduct biological research.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,32,I2,Study the structure of the human body.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,33,I3,Develop a new medical treatment or procedure.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,34,I4,Conduct chemical experiments.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,35,I5,Study ways to reduce water pollution.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,36,I6,Develop a new computer algorithm.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,37,I7,Analyze data to find patterns.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,38,I8,Investigate the causes of a disease.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,39,I9,Study the history of past civilizations.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,40,I10,Examine blood samples using a microscope.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,41,I11,Develop a theory about how the universe works.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,42,I12,Research new sources of energy.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,43,I13,Investigate a crime scene.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,44,I14,Study the behavior of animals in the wild.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,45,I15,Perform laboratory tests to identify diseases.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,46,I16,Analyze financial data to forecast trends.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,47,I17,Develop a mathematical model for a real-world problem.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,48,I18,Research the psychological effects of social media.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,49,I19,Study climate change and its effects.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,50,I20,Investigate how drugs affect the brain.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,51,I21,Develop software to solve complex problems.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",False
RIASEC180,52,I22,Avoid tasks that require deep analysis.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,53,I23,Prefer not to read scientific articles.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,54,I24,Dislike working in a laboratory.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,55,I25,Avoid solving complex problems.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,56,I26,Prefer not to conduct research.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
RIASEC180,57,I27,Dislike working with data and statistics.,"{""options"":[""Strongly Dislike"",""Dislike"",""Unsure"",""Like"",""Strongly Like""],""scale"":""RIASEC""}",True
