job_id,title,description,skills,riasec_vector,tags_en
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",,"[0.18571428571428572, 0.4628571428571429, 0.29714285714285715, 0.5028571428571429, 0.9828571428571429, 0.7142857142857143]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-financial-resources|management-of-material-resources|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|speaking|systems-analysis|systems-evaluation|time-management|writing
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",,"[0.2914285714285714, 0.6828571428571429, 0.35428571428571426, 0.5071428571428571, 0.9542857142857143, 0.6414285714285715]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|persuasion|reading-comprehension|social-perceptiveness|speaking|systems-analysis|systems-evaluation|writing
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",,"[0.31714285714285717, 0.34142857142857147, 0.18714285714285714, 0.48142857142857143, 0.9942857142857143, 0.76]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,"[0.22, 0.4785714285714286, 0.38571428571428573, 0.5271428571428571, 0.7885714285714285, 0.5171428571428571]",develop|introduce|tribal|state|legislators
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",,"[0.15285714285714286, 0.24428571428571427, 0.55, 0.44857142857142857, 1.0, 0.6142857142857142]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",,"[0.14285714285714285, 0.41428571428571426, 0.35000000000000003, 0.40285714285714286, 1.0, 0.6714285714285715]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",,"[0.21285714285714286, 0.23714285714285713, 0.18714285714285714, 0.47000000000000003, 1.0, 0.7971428571428572]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",,"[0.14285714285714285, 0.33571428571428574, 0.5257142857142857, 0.5914285714285714, 1.0, 0.6271428571428571]",plan|direct|public-relations-managers
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,"[0.14285714285714285, 0.3442857142857143, 0.3814285714285714, 0.5357142857142857, 1.0, 0.6742857142857143]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|monitoring|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",,"[0.22714285714285715, 0.29, 0.1442857142857143, 0.53, 0.9299999999999999, 0.9185714285714285]",active-learning|active-listening|coordination|critical-thinking|management-of-personnel-resources|monitoring|negotiation|reading-comprehension|social-perceptiveness|speaking|time-management|writing
